headword,type,cefr,meaning,ipa,example,image_link,topic
indolent,adjective,C2,wanting to avoid activity or exertion; lazy,/'?n.d?l.?nt/,He is an indolent student.,,
indolently,adverb,C2,in a lazy or idle manner,/'?n.d?l.?nt.li/,She lounged indolently on the sofa.,,
indolence,noun,C2,avoidance of activity or exertion; laziness,/'?n.d?l.?ns/,His indolence led to poor results.,,
taste-maker,noun,C2,a person who influences what is or will become fashionable,/'te?st?me?.k?r/,She is a taste-maker in the fashion industry.,,
deviant,noun,C2,a person who does not follow accepted social standards or norms,/'di?.vi.?nt/,He was labeled a social deviant.,,
deviant,adjective,C2,"departing from usual or accepted standards, especially in social or sexual behavior",/'di?.vi.?nt/,Deviant behavior is not tolerated.,,
deviantly,adverb,C2,in a way that departs from accepted standards,/'di?.vi.?nt.li/,He acted deviantly.,,
engender,verb,C2,"to cause or give rise to a feeling, situation, or condition",/?n'd?en.d?r/,His speech engendered debate.,,
emolument,noun,C2,"a salary, fee, or profit from employment or office",/?'m?l.j?.m?nt/,He received emoluments for his work.,,
munificence,noun,C2,great generosity,/mju?'n?f.?.s?ns/,The charity benefited from her munificence.,,
posterity,noun,C2,all future generations of people,/p?'ster.?.ti/,We must preserve the planet for posterity.,,
venomous,adjective,C2,producing venom; spiteful or malicious,/'ven.?.m?s/,A venomous snake bit him.,,
venomously,adverb,C2,in a way that is full of venom or spite,/'ven.?.m?s.li/,She spoke venomously.,,
choreography,noun,C2,the art of designing sequences of movements for dancers or performers,/?k?r.i'?g.r?.fi/,The choreography was stunning.,,
choreographical,adjective,C2,relating to choreography,/?k?r.i.?'gr?.?.k?l/,She made choreographical notes.,,
archetype,noun,C2,a very typical example of a certain person or thing; an original model,/'??.k?.ta?p/,He is the archetype of a hero.,,
archetypal,adjective,C2,very typical of a certain kind of person or thing,/???.k?'ta?.p?l/,She is the archetypal mother.,,
dissension,noun,C2,disagreement that leads to discord,/d?'sen.??n/,There was dissension in the ranks.,,
exalted,adjective,C2,placed at a high or powerful level; held in high regard,/?g'z?l.t?d/,He holds an exalted position.,,
exaltedly,adverb,C2,in a way that is elevated or held in high regard,/?g'z?l.t?d.li/,She spoke exaltedly of her mentor.,,
adept,adjective,C2,very skilled or proficient at something,/?'dept/,She is adept at solving problems.,,
adept,noun,C2,a person who is skilled or proficient at something,/?'dept/,He is an adept at chess.,,
inert,adjective,C2,lacking the ability or strength to move; inactive,/?'n??t/,The chemicals are inert.,,
hitherto,adverb,C2,until now or until the point in time under discussion,/?h???'tu?/,The results are hitherto unknown.,,
angst,noun,C2,a feeling of deep anxiety or dread,/?st/,Teenage angst is common.,,
angsty,adjective,C2,showing or feeling anxiety or dread,/'?.sti/,He wrote angsty poetry.,,
drabness,noun,C2,the quality of being dull and lacking brightness or interest,/'dr?.n?s/,The drabness of the room was depressing.,,
melodious,adjective,C2,having a pleasant and musical sound,/m?'l??.di.?s/,She has a melodious voice.,,
melodiously,adverb,C2,in a way that is pleasant to hear; musically,/m?'l??.di.?s.li/,The birds sang melodiously.,,
magpie,noun,C2,a long-tailed black-and-white bird; a person who collects things,/'m?.pa?/,A magpie landed on the fence.,,
lark,noun,C2,a small songbird; something done for fun or as a joke,/l??k/,They went for a drive just for a lark.,,
lark,noun,C2,a person who is active early in the morning,/l??k/,"She is a real lark, always up at dawn.",,
melancholy,noun,C2,a feeling of deep sadness or sorrow,/'mel.?n.k?l.i/,A sense of melancholy filled the room.,,
melancholy,adjective,C2,having a feeling of deep sadness,/'mel.?n.k?l.i/,He looked at her with a melancholy expression.,,
meteorology,noun,C2,the scientific study of the atmosphere and weather,/?mi?.ti.?'r?l.?.d?i/,She works in meteorology.,,
meteorological,adjective,C2,relating to the study of weather and climate,/?mi?.ti.?.r?'l?d?.?.k?l/,Meteorological data is collected daily.,,
brink,noun,C2,"the edge of something, especially something bad or dangerous",/br??k/,The company is on the brink of collapse.,,
unsurpassed,adjective,C2,better or greater than any other,/??n.s?'p??st/,She has unsurpassed talent.,,
loiter,verb,C2,to stand or wait around without apparent purpose,/'l??.t?r/,Teenagers loitered outside the shop.,,
topple,verb,C2,"to fall or make something fall, especially suddenly and violently",/'t?p.?l/,The statue toppled over.,,
intrinsic,adjective,C2,belonging naturally; essential,/?n'tr?n.z?k/,Creativity is intrinsic to human nature.,,
intrinsically,adverb,C2,in an essential or natural way,/?n'tr?n.z?.kli/,The job is intrinsically rewarding.,,
merit,noun,C2,the quality of being particularly good or worthy,/'mer.?t/,The proposal has merit.,,
merit,verb,C2,to deserve or be worthy of something,/'mer.?t/,The idea merits consideration.,,
promotable,adjective,C2,having the qualities necessary for promotion,/pr?'m??.t?.b?l/,She is a promotable employee.,,
clinch,verb,C2,to finally win or achieve something; to secure or settle something,/kl?nt?/,They clinched the victory.,,
anonymity,noun,C2,the condition of being anonymous; not identified by name,/??.?'n?m.?.ti/,The donor requested anonymity.,,
splinter,verb,C2,"to break into small, sharp pieces; to separate into smaller groups",/'spl?n.t?r/,The glass splintered on impact.,,
reproach,verb,C2,to express disapproval or disappointment,/r?'pr??t?/,She reproached him for being late.,,
disseminate,verb,C2,to spread or distribute widely,/d?'sem.?.ne?t/,The organization disseminates information.,,
dissemination,noun,C2,"the act of spreading something, especially information, widely",/d??sem.?'ne?.??n/,The dissemination of news is rapid.,,
dissemble,verb,C2,"to hide your true feelings, opinions, or intentions",/d?'sem.b?l/,He dissembled about his plans.,,
mangle,verb,C2,"to severely damage or mutilate something by cutting, tearing, or crushing",/'m?.g?l/,The machine mangled the fabric.,,
bereft,adjective,C2,"deprived of or lacking something, especially a nonmaterial asset",/b?'reft/,He was bereft of hope.,,
bereftly,adverb,C2,in a way that shows loss or deprivation,/b?'reft.li/,She looked bereftly at the empty room.,,
soliloquy,noun,C2,a speech in a play in which a character speaks their thoughts aloud,/s?'l?l.?.kwi/,Hamlet's soliloquy is famous.,,
solipsism,noun,C2,the theory that only the self exists or can be known to exist,/'s?l.?p.s?.z?m/,His philosophy borders on solipsism.,,
soliloquize,verb,C2,to speak one's thoughts aloud when by oneself,/s?'l?l.?.kwa?z/,She soliloquized about her dreams.,,
mutinous,adjective,C2,refusing to obey orders; rebellious,/'mju?.t?.n?s/,The mutinous crew seized the ship.,,
mutinously,adverb,C2,in a rebellious or disobedient manner,/'mju?.t?.n?s.li/,They mutinously refused to work.,,
prissy,adjective,C2,fussily and excessively proper; easily offended,/'pr?s.i/,She is too prissy to get dirty.,,
reptilian,adjective,C2,relating to or resembling reptiles; cold-blooded or treacherous,/rep't?l.i.?n/,He gave her a reptilian stare.,,
diminish,verb,C2,to make or become less,/d?'m?n.??/,His influence has diminished over time.,,
undiminishing,adjective,C2,not becoming less or weaker,/??n.d?'m?n.??.??/,She has undiminishing enthusiasm.,,
contagion,noun,C2,the communication of disease from one person to another; the spread of something harmful,/k?n'te?.d??n/,There was a risk of contagion.,,
homestead,noun,C2,"a house, especially a farmhouse, and outbuildings; land granted to settlers",/'h??m.sted/,They built a homestead on the prairie.,,
computerize/computerise,verb,C2,to equip with or automate by computers,/k?m'pju?.t?.ra?z/,The office was computerized last year.,,
incumbent,noun,C2,the holder of an office or post,/?n'k?m.b?nt/,The incumbent was re-elected.,,
incumbent,adjective,C2,necessary as a duty or responsibility; currently holding office,/?n'k?m.b?nt/,It is incumbent on you to act.,,
recumbent,adjective,C2,lying down; in a position of comfort or rest,/r?'k?m.b?nt/,He lay recumbent on the grass.,,
nonchalant,adjective,C2,calm and relaxed; not displaying anxiety or enthusiasm,/'n?n.??l.?nt/,He gave a nonchalant shrug.,,
nonchalantly,adverb,C2,in a calm and relaxed manner,/'n?n.??l.?nt.li/,She answered nonchalantly.,,
mesmeric,adjective,C2,captivating or hypnotic,/mez'mer.?k/,The music had a mesmeric effect.,,
stultify,verb,C2,"to cause to lose enthusiasm and initiative, especially as a result of tedious or restrictive routine",/'st?l.t?.fa?/,The job stultified his creativity.,,
stultifyingly,adverb,C2,in a way that causes loss of enthusiasm or initiative,/'st?l.t?.fa?.??.li/,The work was stultifyingly dull.,,
wallow,verb,C2,"to roll about or lie in water, mud, etc., for refreshment; to indulge in an unrestrained way",/'w?l.??/,He wallowed in self-pity.,,
ponderous,adjective,C2,slow and clumsy because of great weight; dull or laborious,/'p?n.d?r.?s/,The book is written in a ponderous style.,,
ponderously,adverb,C2,in a slow and clumsy or dull way,/'p?n.d?r.?s.li/,He moved ponderously.,,
lassitude,noun,C2,a state of physical or mental weariness; lack of energy,/'l?.?.tju?d/,A feeling of lassitude overcame her.,,
vicinity,noun,C2,the area near or surrounding a particular place,/v?'s?n.?.ti/,There are shops in the vicinity.,,
ebb,verb,C2,to move away from the land; to gradually decrease,/eb/,Her enthusiasm began to ebb.,,
wax,verb,C2,"to increase in size, number, strength, or intensity",/w?s/,The moon waxes and wanes.,,
wane,verb,C2,"to decrease in size, strength, or power",/we?n/,His influence is on the wane.,,
antediluvian,adjective,C2,extremely old-fashioned; before the biblical flood,/??.ti.d?'lu?.vi.?n/,His ideas are antediluvian.,,
ostensible,adjective,C2,"stated or appearing to be true, but not necessarily so",/?s'ten.s?.b?l/,The ostensible reason was a headache.,,
ostensibly,adverb,C2,"apparently or purportedly, but perhaps not actually",/?s'ten.s?.bli/,He was ostensibly on vacation.,,
interlocking,adjective,C2,fitting or joined together firmly,/??n.t?'l?k.??/,The puzzle pieces are interlocking.,,
plane,noun,C2,a flat surface; a level of existence or thought; a short form of airplane,/ple?n/,The table has a smooth plane.,,
undemonstrative,adjective,C2,not tending to express feelings openly,/??n.d?'m?n.str?.t?v/,He is undemonstrative with affection.,,
undemonstratively,adverb,C2,in a way that does not show feelings openly,/??n.d?'m?n.str?.t?v.li/,She hugged him undemonstratively.,,
menace,noun,C2,a person or thing that is likely to cause harm; a threat or danger,/'men.?s/,Drunk drivers are a menace to society.,,
menacing,adjective,C2,suggesting the presence of danger; threatening,/'men.?.s??/,He gave her a menacing look.,,
menacingly,adverb,C2,in a way that suggests danger or threat,/'men.?.s??.li/,The dog growled menacingly.,,
calamity,noun,C2,an event causing great and often sudden damage or distress; a disaster,/k?'l?.?.ti/,The earthquake was a calamity.,,
calamitous,adjective,C2,involving calamity; disastrous,/k?'l?.?.t?s/,The calamitous storm destroyed homes.,,
calamitously,adverb,C2,in a disastrous or calamitous way,/k?'l?.?.t?s.li/,The plan failed calamitously.,,
nigh,adverb,C2,"near in space, time, or relationship",/na?/,The end is nigh.,,
austere,adjective,C2,severe or strict in manner; having no comforts or luxuries,/?'st??r/,The room was austere and bare.,,
austerely,adverb,C2,in a severe or strict manner; plainly,/?'st??.li/,She dressed austerely.,,
austerity,noun,C2,sternness or severity; extreme plainness; difficult economic conditions,/?'ster.?.ti/,The government imposed austerity.,,
idiosyncrasy,noun,C2,a mode of behavior or way of thought peculiar to an individual,/??d.i.?'s??.kr?.si/,His habit of whistling is an idiosyncrasy.,,
idiosyncratic,adjective,C2,peculiar or individual,/??d.i.?.s??'kr?.?k/,She has an idiosyncratic style.,,
idiomatic,adjective,C2,"using, containing, or denoting expressions natural to a native speaker",/??d.i.?'m?.?k/,His English is very idiomatic.,,
idiomatically,adverb,C2,in a way that is natural to a native speaker,/??d.i.?'m?.?.kli/,The phrase is used idiomatically.,,
kinetic,adjective,C2,relating to or resulting from motion,/k?'net.?k/,Kinetic energy is energy of motion.,,
kinetically,adverb,C2,in a way that relates to motion,/k?'net.?.kli/,The particles move kinetically.,,
unmediated,adjective,C2,without anyone or anything intervening; direct,/?n'mi?.di.e?.t?d/,He had an unmediated experience.,,
mediate,verb,C2,to try to end a disagreement between two or more people or groups,/'mi?.di.e?t/,She mediated the dispute.,,
mediation,noun,C2,intervention in a dispute to resolve it,/?mi?.di'e?.??n/,The conflict was settled by mediation.,,
unharried,adjective,C2,not harassed or troubled; calm,/?n'h?.id/,She led an unharried life.,,
figurative,adjective,C2,departing from a literal use of words; metaphorical,/'f?g.?r.?.t?v/,He used figurative language.,,
figuratively,adverb,C2,in a metaphorical or non-literal sense,/'f?g.?r.?.t?v.li/,"He was, figuratively speaking, a giant.",,
exorcism,noun,C2,the act of driving out an evil spirit from a person or place,/'ek.s??.s?.z?m/,The priest performed an exorcism.,,
exorcist,noun,C2,a person who expels evil spirits,/'ek.s??.s?st/,The exorcist arrived at the house.,,
mundanity,noun,C2,the quality of being ordinary or uninteresting,/m?n'd?.?.ti/,He was bored by the mundanity of life.,,
mediocrity,noun,C2,the quality of being average or not very good,/?mi?.di'?k.r?.ti/,He was frustrated by his own mediocrity.,,
dubiously,adverb,C2,in a way that arouses doubt or suspicion,/'dju?.bi.?s.li/,He looked at her dubiously.,,
curate,verb,C2,"to select, organize, and look after items in a collection or exhibit",/kj?'re?t/,She curates the art gallery.,,
curator,noun,C2,"a person in charge of a museum, library, or other collection",/kj??'re?.t?r/,The curator organized the exhibition.,,
antithesis,noun,C2,a person or thing that is the direct opposite of someone or something else,/?'t??.?.s?s/,Love is the antithesis of hate.,,
antithetical,adjective,C2,directly opposed or contrasted; mutually incompatible,/??.t?'?et.?.k?l/,His views are antithetical to mine.,,
parameter,noun,C2,a limit or boundary that defines the scope of a process or activity,/p?'r?.?.t?r/,The study has strict parameters.,,
detract,verb,C2,to reduce or take away the worth or value of something,/d?'tr?t/,The noise detracts from the experience.,,
interrogate,verb,C2,"to ask questions of someone closely, aggressively, or formally",/?n'ter.?.ge?t/,The police interrogated the suspect.,,
interrogation,noun,C2,"the act of questioning someone closely, aggressively, or formally",/?n?ter.?'ge?.??n/,He confessed during interrogation.,,
interrogative,adjective,C2,having the form of a question,/?n?ter.?'g?t.?v/,She gave him an interrogative look.,,
interrogatively,adverb,C2,in a questioning manner,/?n?ter.?'g?t.?v.li/,He asked interrogatively.,,
perverse,adjective,C2,showing a deliberate and obstinate desire to behave unacceptably,/p?'v??s/,He took a perverse pleasure in causing trouble.,,
perversity,noun,C2,a deliberate desire to behave in an unreasonable or unacceptable way,/p?'v??.s?.ti/,Her perversity annoyed her friends.,,
attainment,noun,C2,the action or fact of achieving a goal toward which one has worked,/?'te?n.m?nt/,Academic attainment is important.,,
opaque,adjective,C2,not able to be seen through; not transparent; hard to understand,/??'pe?k/,The glass is opaque.,,
opacity,noun,C2,the quality of being opaque; lack of transparency,/??'p?.?.ti/,The opacity of the water made it hard to see.,,
remit,verb,C2,to send money as payment; to cancel or refrain from exacting a punishment,/r?'m?t/,Please remit payment by Friday.,,
remittance,noun,C2,a sum of money sent in payment or as a gift,/r?'m?t.?ns/,He sent a remittance to his family.,,
recourse,noun,C2,a source of help in a difficult situation,/r?'k??s/,They had no recourse but to sue.,,
pedestal,noun,C2,the base or support on which a statue or column is mounted,/'ped.?.st?l/,The statue stands on a pedestal.,,
pedestrian,adjective,C2,lacking inspiration or excitement; dull,/p?'des.tri.?n/,His writing is pedestrian.,,
lurid,adjective,C2,"very vivid in color, especially so as to create an unpleasantly harsh effect; shocking",/'lj??.r?d/,The newspaper gave lurid details.,,
luridly,adverb,C2,in a way that is very vivid or shocking,/'lj??.r?d.li/,The story was luridly told.,,
fallacy,noun,C2,"a mistaken belief, especially one based on unsound argument",/'f?.?.si/,The idea is a common fallacy.,,
rife,adjective,C2,(especially of something undesirable) of common occurrence; widespread,/ra?f/,Corruption is rife in the city.,,
grumble,verb,C2,to complain about something in a bad-tempered way,/'gr?m.b?l/,He grumbled about the weather.,,
mercenary,noun,C2,a professional soldier hired to serve in a foreign army; a person motivated by money,/'m??.s?.n?r.i/,He worked as a mercenary.,,
polysyllabic,adjective,C2,having more than one syllable,/?p?l.i.s?'l?.?k/,'Information' is a polysyllabic word.,,
syllabic,adjective,C2,relating to or based on syllables,/s?'l?.?k/,The poem has a syllabic structure.,,
superfluous,adjective,C2,"unnecessary, especially through being more than enough",/su?'p??.flu.?s/,Delete any superfluous words.,,
superfluously,adverb,C2,in a way that is unnecessary or excessive,/su?'p??.flu.?s.li/,He spoke superfluously.,,
snippet,noun,C2,a small piece or brief extract,/'sn?p.?t/,She read a snippet of the article.,,
practitioner,noun,C2,"a person actively engaged in an art, discipline, or profession",/pr?'t??.?n.?r/,She is a medical practitioner.,,
ephemeral,adjective,C2,lasting for a very short time,/?'fem.?r.?l/,Fame is often ephemeral.,,
ephemera,noun,C2,things that exist or are used or enjoyed for only a short time,/?'fem.?r.?/,She collects vintage ephemera.,,
ephemerality,noun,C2,the quality of lasting for a very short time,/??fem.?'r?.?.ti/,The ephemerality of youth is bittersweet.,,
summarily,adverb,C2,in a summary manner; without the customary formalities,/s?'m?r.?.li/,He was summarily dismissed.,,
skim,verb,C2,to remove a substance from the surface of a liquid; to read or glance through quickly,/sk?m/,She skimmed the report.,,
infallibly,adverb,C2,in a way that is never wrong or fails,/?n'f?.?.bli/,He infallibly predicts the weather.,,
infallible,adjective,C2,incapable of making mistakes or being wrong,/?n'f?.?.b?l/,No one is infallible.,,
infallibility,noun,C2,the quality of being infallible; inability to be wrong,/?n?f?.?'b?l.?.ti/,He believed in his own infallibility.,,
depravity,noun,C2,moral corruption; wickedness,/d?'pr?.?.ti/,The story is about human depravity.,,
depraved,adjective,C2,morally corrupt; wicked,/d?'pre?vd/,He committed depraved acts.,,
deprecate,verb,C2,to express disapproval of,/'dep.r?.ke?t/,He deprecated her decision.,,
deprecatingly,adverb,C2,in a way that shows disapproval,/'dep.r?.ke?.t??.li/,She smiled deprecatingly.,,
revile,verb,C2,to criticize in an abusive or angrily insulting manner,/r?'va?l/,He was reviled by the press.,,
revulsion,noun,C2,a sense of disgust and loathing,/r?'v?l.??n/,She felt revulsion at the crime.,,
meager/meagre,adjective,C2,lacking in quantity or quality; scanty,/'mi?.g?r/,They survived on a meager diet.,,
arcane,adjective,C2,understood by few; mysterious or secret,/??'ke?n/,The rules are arcane.,,
arcanely,adverb,C2,in a mysterious or secret way,/??'ke?n.li/,He spoke arcanely.,,
porten,noun,C2,(likely a misspelling of 'portent') a sign or warning that something is likely to happen,/'p??.t?nt/,The dark clouds were a porten of rain.,,
divination,noun,C2,the practice of seeking knowledge of the future by supernatural means,/?d?v.?'ne?.??n/,She practiced divination with tarot cards.,,
flit,verb,C2,to move lightly and swiftly; to dart,/fl?t/,Butterflies flitted from flower to flower.,,
hitch,verb,C2,to fasten or tie; to get a ride by standing at the side of the road and asking passing vehicles,/h?t?/,He hitched the trailer to the car.,,
prone,adjective,C2,likely to suffer from or experience something; lying face down,/pr??n/,He is prone to headaches.,,
scavenger,noun,C2,an animal or person that searches for and collects discarded items,/'sk?.?n.d??r/,Vultures are scavengers.,,
vermin,noun,C2,"harmful or objectionable animals, especially those that carry disease",/'v??.m?n/,The barn was infested with vermin.,,
totemic,adjective,C2,relating to or resembling a totem or totems; symbolic,/t??'tem.?k/,The eagle is a totemic animal.,,
emulate,verb,C2,"to try to equal or excel, especially by imitating",/'em.j?.le?t/,He tried to emulate his father.,,
emulation,noun,C2,"effort to match or surpass a person or achievement, typically by imitation",/?em.j?'le?.??n/,Her emulation of her mentor was obvious.,,
avian,adjective,C2,relating to birds,/'e?.vi.?n/,Avian flu affects birds.,,
vestigial,adjective,C2,forming a very small remnant of something that was once much larger or more noticeable,/ve'st?d?.i.?l/,The appendix is a vestigial organ.,,
vestigially,adverb,C2,in a way that is a small remnant or trace,/ve'st?d?.i.?.li/,The feature exists vestigially.,,
barometer,noun,C2,an instrument measuring atmospheric pressure; something that reflects changes in circumstances,/b?'r?m.?.t?r/,The stock market is a barometer of economic health.,,
lament,verb,C2,"to express sorrow, regret, or unhappiness about something",/l?'ment/,She lamented the loss of her friend.,,
lamentation,noun,C2,the passionate expression of grief or sorrow; weeping,/?l?.?n'te?.??n/,There was much lamentation at the funeral.,,
brouhaha,noun,C2,a noisy and overexcited reaction or response to something,/'bru?.h??.h??/,The announcement caused a brouhaha.,,
magnate,noun,C2,"a wealthy and influential person, especially in business",/'m?.ne?t/,He is a media magnate.,,
magnanimous,adjective,C2,"very generous or forgiving, especially toward a rival or someone less powerful",/m?'n?.?.m?s/,She was magnanimous in victory.,,
magnanimously,adverb,C2,in a generous or forgiving manner,/m?'n?.?.m?s.li/,He accepted the apology magnanimously.,,
magnanimity,noun,C2,the quality of being generous or forgiving,/?m?.n?'n?m.?.ti/,Her magnanimity impressed everyone.,,
whirlwind,noun,C2,a column of air moving rapidly around and in a cylindrical or funnel shape; something happening very quickly,/'w??l.w?nd/,They had a whirlwind romance.,,
strait,noun,C2,a narrow passage of water connecting two seas or large areas of water; a difficult situation,/stre?t/,The ship sailed through the strait.,,
secular,adjective,C2,not connected with religious or spiritual matters,/'sek.j?.l?r/,The country is a secular state.,,
secularly,adverb,C2,in a way that is not connected with religion,/'sek.j?.l?.li/,The event is celebrated secularly.,,
euphemism,noun,C2,a mild or indirect word or expression substituted for one considered to be too harsh or blunt,/'ju?.f?.m?.z?m/,'Passed away' is a euphemism for 'died.',,
euphemistic,adjective,C2,using or of the nature of a euphemism,/?ju?.f?'m?s.t?k/,He used euphemistic language.,,
euphemistically,adverb,C2,in a way that uses or relates to euphemism,/?ju?.f?'m?s.t?.kli/,He was euphemistically called 'vertically challenged.',,
condensation,noun,C2,the process by which a gas turns into a liquid; small drops of water that form on a cold surface,/?k?n.den'se?.??n/,Condensation formed on the window.,,
redundant,adjective,C2,not or no longer needed or useful; superfluous,/r?'d?n.d?nt/,He was made redundant from his job.,,
redundancy,noun,C2,the state of being not or no longer needed or useful,/r?'d?n.d?n.si/,The company announced redundancies.,,
redundantly,adverb,C2,in a way that is not or no longer needed or useful,/r?'d?n.d?nt.li/,The information was redundantly repeated.,,
colloquial,adjective,C2,(of language) used in ordinary or familiar conversation; not formal or literary,/k?'l??.kwi.?l/,He used colloquial expressions.,,
colloquium,noun,C2,an academic conference or seminar,/k?'l??.kwi.?m/,She presented her research at a colloquium.,,
colloquially,adverb,C2,in an informal or conversational manner,/k?'l??.kwi.?.li/,The term is used colloquially.,,
allusion,noun,C2,an indirect or passing reference,/?'lu?.??n/,The poem contains an allusion to Shakespeare.,,
allude,verb,C2,to refer to something indirectly,/?'lu?d/,He alluded to his past.,,
disparage,verb,C2,to speak of someone or something as unimportant or bad; to belittle,/d?'sp?.?d?/,He disparaged his opponent.,,
disparaging,adjective,C2,expressing the opinion that something is of little worth; derogatory,/d?'sp?.?.d???/,She made disparaging remarks.,,
disparagingly,adverb,C2,in a way that belittles or criticizes,/d?'sp?.?.d???.li/,He spoke disparagingly of the plan.,,
disparagement,noun,C2,the act of speaking about someone or something in a derogatory or belittling manner,/d?'sp?.?d?.m?nt/,She ignored the disparagement.,,
huddle,verb,C2,to crowd together; to gather closely,/'h?d.?l/,They huddled together for warmth.,,
huddle,noun,C2,a closely packed group; a gathering for discussion,/'h?d.?l/,The team formed a huddle.,,
topography,noun,C2,the arrangement of the natural and artificial physical features of an area,/t?'p?g.r?.fi/,The topography of the region is mountainous.,,
topographical,adjective,C2,relating to the arrangement of the physical features of an area,/?t?p.?'gr?.?.k?l/,Topographical maps show elevation.,,
topographically,adverb,C2,in a way that relates to the arrangement of physical features,/?t?p.?'gr?.?.kli/,The area is topographically diverse.,,
confabulate,verb,C2,to talk informally; to fabricate imaginary experiences as compensation for memory loss,/k?n'f?.j?.le?t/,They confabulated over coffee.,,
confabulation,noun,C2,informal conversation; a fabricated memory,/k?n?f?.j?'le?.??n/,His story was a confabulation.,,
surrealist,noun,C2,an artist or writer who produces surreal works,/s?'r??.l?st/,He is a famous surrealist.,,
surrealism,noun,C2,a 20th-century avant-garde movement in art and literature that sought to release the creative potential of the unconscious mind,/s?'r??.l?.z?m/,Surrealism influenced modern art.,,
contrive,verb,C2,to create or bring about by deliberate use of skill and artifice,/k?n'tra?v/,They contrived a plan to escape.,,
malice,noun,C2,the intention or desire to do evil; ill will,/'m?.?s/,He acted out of malice.,,
malicious,adjective,C2,intending or intended to do harm,/m?'l??.?s/,That was a malicious rumor.,,
maliciously,adverb,C2,in a way that intends to do harm,/m?'l??.?s.li/,He maliciously damaged the car.,,
cinematography,noun,C2,the art of making motion pictures,/?s?n.?.m?'t?g.r?.fi/,The film's cinematography is stunning.,,
cinematographer,noun,C2,a person who oversees or directs photography and camerawork in filmmaking,/?s?n.?.m?'t?g.r?.f?r/,She is an award-winning cinematographer.,,
maverick,noun,C2,an independent-minded person who does not go along with a group or party,/'m?.?r.?k/,He is a political maverick.,,
diligent,adjective,C2,having or showing care and conscientiousness in one's work or duties,/'d?l.?.d??nt/,She is a diligent student.,,
diligence,noun,C2,careful and persistent work or effort,/'d?l.?.d??ns/,He worked with diligence.,,
diligently,adverb,C2,in a way that shows care and conscientiousness,/'d?l.?.d??nt.li/,She studied diligently.,,
turret,noun,C2,a small tower on top of a larger tower or at the corner of a building or wall,/'t?r.?t/,The castle has a round turret.,,
impressionistic,adjective,C2,based on subjective reactions presented unsystematically; relating to impressionism,/?m?pre?.?'n?s.t?k/,The painting is impressionistic.,,
impressionistically,adverb,C2,in a way that is based on subjective reactions or impressionism,/?m?pre?.?'n?s.t?.kli/,He wrote impressionistically.,,
snobbery,noun,C2,the character or quality of being a snob; arrogance,/'sn?b.?r.i/,She was accused of snobbery.,,
parochial,adjective,C2,having a limited or narrow outlook or scope; relating to a church parish,/p?'r??.ki.?l/,His views are parochial.,,
gravitate,verb,C2,"to move toward or be attracted to a place, person, or thing",/'gr?.?.te?t/,People gravitate to big cities.,,
gravitational,adjective,C2,relating to movement toward a center of gravity,/?gr?.?'te?.??n.?l/,Gravitational forces keep planets in orbit.,,
gravitationally,adverb,C2,in a way that relates to gravity,/?gr?.?'te?.??n.?l.i/,The objects are gravitationally bound.,,
consternation,noun,C2,"feelings of anxiety or dismay, typically at something unexpected",/?k?n.st?'ne?.??n/,The news filled her with consternation.,,
haughty,adjective,C2,arrogantly superior and disdainful,/'h??.ti/,She gave him a haughty look.,,
haughtily,adverb,C2,in an arrogantly superior and disdainful way,/'h??.t?.li/,He spoke haughtily.,,
axiom,noun,C2,"a statement or proposition that is regarded as being established, accepted, or self-evidently true",/'?.si.?m/,It is an axiom that supply equals demand.,,
axiomatic,adjective,C2,self-evident or unquestionable,/??.si.?'m?.?k/,It is axiomatic that honesty is the best policy.,,
attrition,noun,C2,the process of gradually reducing the strength or effectiveness of someone or something through sustained attack or pressure,/?'tr??.?n/,The company suffered from staff attrition.,,
enduringly,adverb,C2,in a way that lasts for a long time,/?n'dj??.r??.li/,The book is enduringly popular.,,
reissue,verb,C2,to publish or produce again,/?ri?'??.u?/,The album was reissued in 2020.,,
sulphur,noun,C2,"a yellow chemical element with a strong smell, used in medicine and industry",/'s?l.f?r/,Sulphur is used in fertilizers.,,
sulphuric,adjective,C2,relating to or containing sulphur,/s?l'fj??.r?k/,Sulphuric acid is highly corrosive.,,
phantom,noun,C2,a ghost; something that is not real but seems real,/'f?.t?m/,He saw a phantom in the dark.,,
moor,noun,C2,"an area of open, uncultivated land, often covered with heather",/m??r/,They walked across the moor.,,
solitary,adjective,C2,done or existing alone,/'s?l.?.t?r.i/,He enjoys solitary walks.,,
solitary,noun,C2,a person who lives alone or likes to be alone,/'s?l.?.t?r.i/,He is a solitary.,,
solitariness,noun,C2,the state of being alone,/'s?l.?.t?r.i.n?s/,She enjoyed her solitariness.,,
solitude,noun,C2,"the state of being alone, especially when this is peaceful and pleasant",/'s?l.?.tju?d/,He sought solitude in the mountains.,,
adhere,verb,C2,to stick firmly; to follow or obey a rule or set of beliefs,/?d'h??r/,You must adhere to the rules.,,
adhesion,noun,C2,the action or process of sticking to a surface or object,/?d'hi?.??n/,Adhesion is important in construction.,,
proscribe,verb,C2,"to forbid, especially by law",/pr?'skra?b/,The law proscribes discrimination.,,
proscription,noun,C2,the act of forbidding something; a ban,/pr?'skr?p.??n/,There is a proscription on smoking.,,
